Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Hepatic Encephalopathy,Dogs and Cats,Liver Diseases,"Unusual behavior, trouble or wobbliness when walking, seizures, drooling, vocalizing, blindness, weakness, coma, poor appetite, weight loss",Not specified,"Portosystemic shunt, hepatic lipidosis","Physical examination, bloodwork, bile acid tests, ammonia measurements, X-rays, abdominal ultrasound",Liver disease; portosystemic shunt; hepatic lipidosis,"Hospitalization, intravenous (IV) medications for brain swelling, anti-epileptic medications, antibiotics, enemas, lactulose, liver protective medications, IV fluids, other supportive care","Diazepam, levetiracetam, phenobarbital, antibiotics, enemas, lactulose, liver protective medications, IV fluids, other supportive care",Not specified,Not specified,Not specified,Recovery possible with mild signs and quick treatment; treatment of underlying liver disease important to prevent recurrence; severe cases can be life-threatening; prompt veterinary care crucial for best prognosis.,
Hepatitis,Dog,Infectious Canine Hepatitis,"Depression, fever, vomiting, diarrhea, abdominal pain, anorexia, jaundice, enlarged abdomen, weight loss, poor appetite, dehydration, weakness, increased thirst and urination, bleeding, bruising",Not specified,"Infections, toxins, drugs, viruses, bacteria (particularly leptospirosis), fungi, excess copper, immune system issues, idiopathic","Thorough history, physical examination, bloodwork (including liver enzyme levels), serum bile acids test, abdominal ultrasound, liver biopsy","Infectious canine hepatitis virus; various other causes such as toxins, drugs, bacteria, viruses, excess copper, immune system issues, idiopathic","Supportive therapy (fluids, medications, antioxidants), specific dietary changes, antibiotics, medication to reduce excess copper, steroids, immunosuppressive drugs, dietary supplements (zinc gluconate, fiber), protein-restricted diet, high-carbohydrate, moderate-fat diet, tasty and nutritious food","Fluids, medications, antioxidants, antibiotics, medication to reduce excess copper, steroids, immunosuppressive drugs, dietary supplements (zinc gluconate, fiber), protein-restricted diet, high-carbohydrate, moderate-fat diet, tasty and nutritious food",Not specified,Not specified,"Vaccination, avoiding exposure to toxins, regular veterinary check-ups","Prognosis depends on the underlying cause; acute hepatitis generally has a better prognosis than chronic hepatitis; average survival time with chronic hepatitis is two to three years, individual prognosis varies based on condition and response to treatment; prognosis worse if scarring/cirrhosis is extensive or blood clotting test results are abnormal. Early diagnosis and treatment are crucial.",
Hepatozoonosis,Dog,None specified,"Mild to severe: Fever, pale gums and skin, enlarged lymph nodes, reluctance to move (H. canis); Pain in muscles, bones, and/or joints, limping, inability to walk, fever, weight loss (H. americanum)",Not specified,"Concurrent infection, debilitating disease, immunosuppressant drugs, young age","Physical examination, blood tests (immune cells, blood cells, organ function), X-rays, blood microscopy, muscle biopsy",Protozoan parasites Hepatozoon canis and Hepatozoon americanum,"Supportive therapy, pain medications, blood transfusions, nutritional/fluid support, high-calorie diets","Medications to decrease symptom severity; pain medications, blood transfusions, nutritional/fluid support, high-calorie diets",Not specified,Not specified,"Aggressive, year-round tick prevention, prevent ingestion of wild rodents/birds, tick removal",Many Dogs cannot be cured; treatment aims to alleviate symptoms and improve quality of life; return of symptoms common; more difficult to control symptoms in H. americanum; prognosis varies depending on severity and response to treatment.,
Herpes Infections,Dog,Respiratory,"Unborn or newborn puppies: resorption of embryos, abortion, stillbirth, death within first few weeks of life; Adult Dogs: mild conjunctivitis/upper respiratory symptoms (most infected Dogs do not appear sick)",Not specified,Direct contact between infected and uninfected Dogs; pregnancy (during last 3 weeks and first 3 weeks after birth),"Physical examination, blood tests (antibody tests), necropsy (autopsy)",Herpes viruses,Keeping the litter cozy and warm; isolation of pregnant Dogs from other Dogs; seropositive nursing female Dog to nurse infected litter; injection of serum from recovered female Dog for anti-herpes antibodies; antiviral medications; warming puppies; isolation of mother and pups,"Antiviral medications (e.g., Acyclovir); warming the puppies",Not specified,Not specified,Keep nest box warm; ensure nursing from mother during first day for intake of colostrum; isolate mother and pups; use of common household disinfectants; vaccine available in Europe (not in U.S.) during pregnancy; monitor stress levels in mother Dog for potential re-shedding of virus,Most dangerous to puppies when infected during pregnancy or shortly after delivery; symptoms usually occur in unborn or newborn puppies; mother Dog usually not sick or may show mild symptoms only; problems occur when uninfected female becomes infected during pregnancy; females infected long before pregnancy should not lose litters as long as puppies are properly isolated; spread not only by sexual contact but also through mouth and nose fluids,
High Blood Pressure,Dogs and cats,Not Known,"Retinal changes leading to blindness, kidney damage, neurological symptoms (e.g., stroke)",Not Known,"Chronic renal failure, hyperthyroidism (in cats), glomerular disease, Cushing's disease, diabetes mellitus, acromegaly, polycythemia, pheochromocytoma, hyperaldosteronism",Doppler blood pressure monitoring,"Underlying conditions such as chronic renal failure, hyperthyroidism, and others","Identify and treat underlying conditions, prescription eye drops for ocular disease","Medications to lower blood pressure (e.g., Amlodipine, Angiotensin II receptor blockers, Hydralazine, Prazosin)",Not Applicable,Not Known,"Regular veterinary check-ups, screening for predisposing conditions, salt restriction in diet for pets with kidney disease",Prognosis varies depending on the severity of hypertension and response to treatment.,
Hip Dislocation,Dogs and cats,"Hip dysplasia,","Inability to bear weight on the affected leg, leg appears shorter, major orthopedic problem",Not Known,"Trauma, hip dysplasia, growth plate damage (in puppies/kittens)",Radiographs,"Trauma, joint capsule tear","Closed reduction, confinement for healing, Ehmer sling",Not Known,"Surgical repair: sewing joint capsule, using screws, pins, Femoral Head Ostectomy (FHO)",Not Known,"Proper handling to avoid trauma, screening for hip dysplasia","Varies depending on severity, success of treatment, and follow-up care",
Hip Dysplasia,Dogs,"Arthritis,","Reduced activity, difficulty rising or lying down, swivel of the hips, bunny hop fashion on stairs",Large breed Dogs,"Genetic factors, nutritional factors, hormonal/neutering factors, environmental situations","Examination, radiography","Genetic, nutritional, hormonal/neutering factors","Pain management, physical therapy, massage","Nutritional supplements, pain medications, anti-inflammatory medications","Surgical repair: Femoral Head/Neck Ostectomy (FHO), Triple Pelvic Osteotomy (TPO), Total Hip Replacement, Juvenile Pubic Symphysiodesis",Varies,"Breeding Dogs with normal hips, proper nutrition, controlled exercise","Varies depending on severity, chosen treatment, and follow-up care",
Histiocytoma,Dogs,N/A,"Round eroded growth on the front half of the body, possible in other areas, benign appearance","Labrador retrievers, Staffordshire terriers, Boxers, Dachshunds",N/A,"Examination, biopsy, cytology exam",Originates from Langerhans cells,"Observation, secondary infection treatment",Immunomodulating drugs,"Surgical removal, cryotherapy",N/A,N/A,"Excellent, most resolve on their own or with surgical removal",
Histoplasmosis,Dogs and Cats,Histoplasma capsulatum,Inhalation of fungal spores,"Ohio, Mississippi, and Missouri River valleys","Poor appetite, fever, weight loss, tiredness, GI symptoms (Dogs), trouble breathing, coughing, runny nose (cats, Dogs), blindness, swollen eyes, skin ulcers, enlarged lymph nodes, pale gums, yellow tinge to skin/eyes","Physical examination, serum biochemistry test, complete blood count, cytology/histopathology, antigen/antibody blood tests, X-rays, ultrasound","Antifungals (itraconazole, fluconazole, amphotericin B), IV fluids, antibiotics, oxygen therapy, feeding tube (symptomatic treatment), periodic check-ups and blood tests",Most asymptomatic cases resolve; symptomatic cases have fair chance of improvement depending on organ involvement; severe cases or multiple organ involvement may not survive treatment,,,,,,
Histoplasmosis,Dogs and Cats,Not Known,"Symptoms include poor appetite, fever, weight loss, fatigue, diarrhea or loose stool, difficulty breathing, coughing, runny nose, blindness or trouble seeing, squinting, swollen eyes (conjunctivitis), pale gums, yellow tinge to the skin and eyes (icterus), skin ulcers or wounds, swellings below the skin (enlarged lymph nodes or draining tracts of infection).",Not Known,"Exposure to environments with high levels of Histoplasma capsulatum, such as areas with bird and bat feces, especially around the Ohio, Mississippi, and Missouri River valleys in the U.S.","Physical examination, serum biochemistry test, complete blood count (CBC), cytology or histopathology, antigen and/or antibody blood tests, X-rays, ultrasound.","Infection with Histoplasma capsulatum, a fungus found in warm, moist organic matter rich in nitrogen, such as bird and bat feces.","Long-term antifungal medications (itraconazole, fluconazole, or amphotericin B), supportive care (IV fluids, antibiotics for secondary infections, oxygen therapy, feeding tube if needed).",Antifungal medications to treat the infection.,Not Known,Varies depending on the severity of the infection and response to treatment.,"Avoiding exposure to environments with high levels of Histoplasma capsulatum, such as areas with bird and bat feces, especially in endemic regions.","Guarded to fair, depending on the severity of the infection and response to treatment.",
Hookworms,Dogs and Cats,"Ancylostoma caninum, Ancylostoma braziliense, Uncinaria stenocephala","Ingestion of larvae from contaminated soil, skin penetration by larvae","Worldwide, more common in warm climates",- Pale gums - Weakness - Diarrhea - Blood loss (in puppies) - Itching and skin lesions (in humans) - Abdominal discomfort (in humans) - Anemia (in severe cases) - Weight loss - Lethargy - Trouble breathing - Coughing,- Physical examination - Fecal examination for eggs - Blood tests - Skin biopsy (in humans),"- Deworming with various products: mebendazole, milbemycin, moxidectin, fenbendazole, pyrantel pamoate, and others - Blood transfusion (in severe cases) - Iron supplementation - Symptomatic treatment: IV fluids, antibiotics, oxygen therapy, feeding tube (in severely affected puppies)","Prognosis varies depending on the severity of infection. Infected pets may recover with treatment, but severe cases, especially in puppies, can be life-threatening if not managed promptly.",,,,,,
